* Measurement data measured by REW V5.20.9
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman2018OE.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2022 3:18:07 AM
* REW Settings:
391.680115 88.932 0.0000
394.518402 88.941 0.0000
397.377258 88.950 0.0000
400.256805 88.958 0.0000
403.157227 88.966 0.0000
406.078674 88.973 0.0000
409.021301 88.980 0.0000
411.985229 88.987 0.0000
414.970642 88.994 0.0000
417.977692 89.001 0.0000
421.006531 89.009 0.0000
424.057312 89.016 0.0000
427.130219 89.024 0.0000
430.225372 89.033 0.0000
433.342957 89.042 0.0000
436.483124 89.051 0.0000
439.646057 89.060 0.0000
442.831909 89.068 0.0000
446.040863 89.077 0.0000
449.273071 89.086 0.0000
452.528687 89.096 0.0000
455.807892 89.107 0.0000
459.110870 89.118 0.0000
462.437775 89.129 0.0000
465.788788 89.139 0.0000
469.164093 89.150 0.0000
472.563843 89.161 0.0000
475.988220 89.172 0.0000
479.437439 89.183 0.0000
482.911652 89.194 0.0000
486.411041 89.205 0.0000
489.935791 89.217 0.0000
493.486053 89.228 0.0000
497.062042 89.239 0.0000
500.663971 89.250 0.0000
504.291992 89.262 0.0000
507.946289 89.275 0.0000
511.627075 89.287 0.0000
515.334534 89.300 0.0000
519.068848 89.312 0.0000
522.830261 89.325 0.0000
526.618896 89.337 0.0000
530.434998 89.350 0.0000
534.278748 89.363 0.0000
538.150330 89.376 0.0000
542.049988 89.389 0.0000
545.977905 89.402 0.0000
549.934265 89.416 0.0000
553.919312 89.429 0.0000
557.933228 89.441 0.0000
561.976257 89.453 0.0000
566.048584 89.464 0.0000
570.150391 89.474 0.0000
574.281921 89.485 0.0000
578.443420 89.495 0.0000
582.635071 89.506 0.0000
586.857056 89.516 0.0000
591.109680 89.526 0.0000
595.393127 89.537 0.0000
599.707581 89.548 0.0000
604.053284 89.560 0.0000
608.430481 89.573 0.0000
612.839417 89.587 0.0000
617.280273 89.601 0.0000
621.753357 89.614 0.0000
626.258850 89.627 0.0000
630.796997 89.640 0.0000
635.368042 89.651 0.0000
639.972168 89.661 0.0000
644.609680 89.672 0.0000
649.280762 89.682 0.0000
653.985718 89.693 0.0000
658.724792 89.703 0.0000
663.498169 89.714 0.0000
668.306152 89.724 0.0000
673.148987 89.734 0.0000
678.026917 89.743 0.0000
682.940186 89.752 0.0000
687.889038 89.760 0.0000
692.873779 89.768 0.0000
697.894653 89.777 0.0000
702.951904 89.786 0.0000
708.045776 89.795 0.0000
713.176575 89.803 0.0000
718.344543 89.811 0.0000
723.549988 89.819 0.0000
728.793152 89.827 0.0000
734.074280 89.835 0.0000
739.393677 89.843 0.0000
744.751648 89.850 0.0000
750.148438 89.857 0.0000
755.584351 89.864 0.0000
761.059631 89.870 0.0000
766.574585 89.876 0.0000
772.129517 89.881 0.0000
777.724670 89.887 0.0000
783.360413 89.892 0.0000
789.036987 89.898 0.0000
794.754700 89.903 0.0000
800.513794 89.908 0.0000
806.314636 89.912 0.0000
812.157532 89.916 0.0000
818.042786 89.919 0.0000
823.970642 89.923 0.0000
829.941467 89.926 0.0000
835.955566 89.929 0.0000
842.013245 89.933 0.0000
848.114807 89.937 0.0000
854.260620 89.942 0.0000
860.450928 89.947 0.0000
866.686096 89.952 0.0000
872.966431 89.957 0.0000
879.292297 89.962 0.0000
885.664001 89.967 0.0000
892.081909 89.972 0.0000
898.546326 89.977 0.0000
905.057556 89.982 0.0000
911.615967 89.987 0.0000
918.221924 89.993 0.0000
924.875732 89.999 0.0000
931.577759 90.004 0.0000
938.328369 90.009 0.0000
945.127869 90.014 0.0000
951.976685 90.021 0.0000
958.875122 90.030 0.0000
965.823547 90.040 0.0000
972.822327 90.050 0.0000
979.871826 90.060 0.0000
986.972351 90.070 0.0000
994.124390 90.081 0.0000
1001.328247 90.092 0.0000
1008.584290 90.105 0.0000
1015.892883 90.120 0.0000
1023.254456 90.135 0.0000
1030.669434 90.150 0.0000
1038.138062 90.165 0.0000
1045.660889 90.180 0.0000
1053.238159 90.195 0.0000
1060.870361 90.212 0.0000
1068.557861 90.233 0.0000
1076.301025 90.255 0.0000
1084.100342 90.277 0.0000
1091.956177 90.300 0.0000
1099.868896 90.322 0.0000
1107.838989 90.344 0.0000
1115.866821 90.368 0.0000
1123.952881 90.394 0.0000
1132.097534 90.424 0.0000
1140.301147 90.457 0.0000
1148.564209 90.489 0.0000
1156.887207 90.521 0.0000
1165.270508 90.552 0.0000
1173.714478 90.584 0.0000
1182.219727 90.619 0.0000
1190.786621 90.656 0.0000
1199.415527 90.693 0.0000
1208.106934 90.731 0.0000
1216.861328 90.768 0.0000
1225.679199 90.806 0.0000
1234.561035 90.842 0.0000
1243.507202 90.880 0.0000
1252.518188 90.922 0.0000
1261.594482 90.967 0.0000
1270.736572 91.013 0.0000
1279.944824 91.060 0.0000
1289.219849 91.106 0.0000
1298.562012 91.153 0.0000
1307.971924 91.200 0.0000
1317.450073 91.248 0.0000
1326.996826 91.297 0.0000
1336.612793 91.349 0.0000
1346.298462 91.401 0.0000
1356.054321 91.455 0.0000
1365.880859 91.508 0.0000
1375.778564 91.561 0.0000
1385.748047 91.613 0.0000
1395.789795 91.666 0.0000
1405.904297 91.718 0.0000
1416.092041 91.771 0.0000
1426.353638 91.823 0.0000
1436.689575 91.876 0.0000
1447.100464 91.928 0.0000
1457.586792 91.980 0.0000
1468.149048 92.032 0.0000
1478.787842 92.085 0.0000
1489.503784 92.136 0.0000
1500.297363 92.191 0.0000
1511.169189 92.252 0.0000
1522.119751 92.316 0.0000
1533.149658 92.380 0.0000
1544.259521 92.444 0.0000
1555.449829 92.509 0.0000
1566.721313 92.573 0.0000
1578.074463 92.635 0.0000
1589.509888 92.698 0.0000
1601.028076 92.767 0.0000
1612.629761 92.838 0.0000
1624.315552 92.911 0.0000
1636.086060 92.985 0.0000
1647.941772 93.059 0.0000
1659.883423 93.133 0.0000
1671.911621 93.206 0.0000
1684.026978 93.280 0.0000
1696.230103 93.357 0.0000
1708.521729 93.436 0.0000
1720.902344 93.519 0.0000
1733.372681 93.602 0.0000
1745.933472 93.686 0.0000
1758.585205 93.769 0.0000
1771.328613 93.852 0.0000
1784.164429 93.935 0.0000
1797.093262 94.020 0.0000
1810.115723 94.105 0.0000
1823.232544 94.193 0.0000
1836.444458 94.282 0.0000
1849.752075 94.370 0.0000
1863.156128 94.458 0.0000
1876.657349 94.546 0.0000
1890.256348 94.635 0.0000
1903.953979 94.726 0.0000
1917.750854 94.817 0.0000
1931.647705 94.910 0.0000
1945.645264 95.003 0.0000
1959.744263 95.097 0.0000
1973.945435 95.189 0.0000
1988.249512 95.282 0.0000
2002.657227 95.370 0.0000
2017.169312 95.450 0.0000
2031.786499 95.526 0.0000
2046.509644 95.603 0.0000
2061.339600 95.679 0.0000
2076.276855 95.756 0.0000
2091.322510 95.833 0.0000
2106.477051 95.910 0.0000
2121.741455 95.985 0.0000
2137.116455 96.061 0.0000
2152.602783 96.136 0.0000
2168.201416 96.211 0.0000
2183.913086 96.285 0.0000
2199.738525 96.361 0.0000
2215.678711 96.435 0.0000
2231.734375 96.509 0.0000
2247.906494 96.581 0.0000
2264.195801 96.653 0.0000
2280.603027 96.723 0.0000
2297.129150 96.795 0.0000
2313.775146 96.865 0.0000
2330.541748 96.936 0.0000
2347.429932 97.004 0.0000
2364.440430 97.068 0.0000
2381.574219 97.129 0.0000
2398.832031 97.184 0.0000
2416.214844 97.238 0.0000
2433.723633 97.293 0.0000
2451.359375 97.349 0.0000
2469.123047 97.404 0.0000
2487.015381 97.458 0.0000
2505.037354 97.508 0.0000
2523.189941 97.557 0.0000
2541.474121 97.603 0.0000
2559.890625 97.649 0.0000
2578.440674 97.694 0.0000
2597.125000 97.736 0.0000
2615.944824 97.781 0.0000
2634.901123 97.832 0.0000
2653.994629 97.875 0.0000
2673.226562 97.916 0.0000
2692.597900 97.956 0.0000
2712.109619 97.995 0.0000
2731.762695 98.034 0.0000
2751.558105 98.073 0.0000
2771.497070 98.114 0.0000
2791.580566 98.152 0.0000
2811.809570 98.182 0.0000
2832.185059 98.209 0.0000
2852.708252 98.234 0.0000
2873.380127 98.258 0.0000
2894.201904 98.283 0.0000
2915.174561 98.308 0.0000
2936.299072 98.333 0.0000
2957.576660 98.359 0.0000
2979.008545 98.384 0.0000
3000.595703 98.409 0.0000
3022.339355 98.434 0.0000
3044.240479 98.459 0.0000
3066.300293 98.484 0.0000
3088.520020 98.510 0.0000
3110.900635 98.535 0.0000
3133.443604 98.558 0.0000
3156.149902 98.577 0.0000
3179.020752 98.593 0.0000
3202.057129 98.604 0.0000
3225.260498 98.613 0.0000
3248.632080 98.623 0.0000
3272.173096 98.634 0.0000
3295.884521 98.645 0.0000
3319.767822 98.655 0.0000
3343.824219 98.662 0.0000
3368.054932 98.667 0.0000
3392.461182 98.667 0.0000
3417.044434 98.665 0.0000
3441.805664 98.664 0.0000
3466.746338 98.662 0.0000
3491.867920 98.662 0.0000
3517.171387 98.660 0.0000
3542.658203 98.654 0.0000
3568.329834 98.644 0.0000
3594.187500 98.629 0.0000
3620.232422 98.612 0.0000
3646.466064 98.595 0.0000
3672.889893 98.577 0.0000
3699.505127 98.562 0.0000
3726.313232 98.544 0.0000
3753.315674 98.522 0.0000
3780.513672 98.497 0.0000
3807.908936 98.470 0.0000
3835.502686 98.441 0.0000
3863.296387 98.413 0.0000
3891.291504 98.385 0.0000
3919.489502 98.358 0.0000
3947.891846 98.330 0.0000
3976.500000 98.300 0.0000
4005.315430 98.266 0.0000
4034.339600 98.228 0.0000
4063.573975 98.188 0.0000
4093.020264 98.146 0.0000
4122.680176 98.104 0.0000
4152.554688 98.063 0.0000
4182.645996 98.022 0.0000
4212.955078 97.979 0.0000
4243.483887 97.935 0.0000
4274.233887 97.884 0.0000
4305.206543 97.830 0.0000
4336.403809 97.774 0.0000
4367.827148 97.718 0.0000
4399.478027 97.662 0.0000
4431.358398 97.607 0.0000
4463.469727 97.552 0.0000
4495.813965 97.496 0.0000
4528.392578 97.434 0.0000
4561.207031 97.371 0.0000
4594.259277 97.308 0.0000
4627.551270 97.246 0.0000
4661.084473 97.183 0.0000
4694.860840 97.120 0.0000
4728.881836 97.056 0.0000
4763.149414 96.992 0.0000
4797.665039 96.925 0.0000
4832.430664 96.858 0.0000
4867.448242 96.790 0.0000
4902.719727 96.722 0.0000
4938.247070 96.653 0.0000
4974.031738 96.586 0.0000
5010.075684 96.524 0.0000
5046.380859 96.465 0.0000
5082.949219 96.408 0.0000
5119.782227 96.352 0.0000
5156.882324 96.295 0.0000
5194.250977 96.238 0.0000
5231.890625 96.181 0.0000
5269.803223 96.124 0.0000
5307.990234 96.067 0.0000
5346.454102 96.010 0.0000
5385.196777 95.954 0.0000
5424.220215 95.898 0.0000
5463.526367 95.841 0.0000
5503.117188 95.784 0.0000
5542.995117 95.728 0.0000
5583.162109 95.674 0.0000
5623.620117 95.624 0.0000
5664.371094 95.577 0.0000
5705.417480 95.531 0.0000
5746.761230 95.487 0.0000
5788.404785 95.442 0.0000
5830.350098 95.398 0.0000
5872.599121 95.353 0.0000
5915.154297 95.308 0.0000
5958.018066 95.264 0.0000
6001.192383 95.216 0.0000
6044.679688 95.154 0.0000
6088.481934 95.087 0.0000
6132.601562 95.021 0.0000
6177.041016 94.956 0.0000
6221.802246 94.889 0.0000
6266.888184 94.825 0.0000
6312.300781 94.765 0.0000
6358.042480 94.707 0.0000
6404.115234 94.650 0.0000
6450.521973 94.594 0.0000
6497.265137 94.538 0.0000
6544.347168 94.482 0.0000
6591.770020 94.426 0.0000
6639.536621 94.370 0.0000
6687.649414 94.310 0.0000
6736.110840 94.249 0.0000
6784.923340 94.184 0.0000
6834.089844 94.118 0.0000
6883.612305 94.052 0.0000
6933.493652 93.986 0.0000
6983.736816 93.921 0.0000
7034.343750 93.855 0.0000
7085.317383 93.786 0.0000
7136.660645 93.714 0.0000
7188.375977 93.635 0.0000
7240.465820 93.554 0.0000
7292.933105 93.475 0.0000
7345.780762 93.396 0.0000
7399.011230 93.317 0.0000
7452.627441 93.238 0.0000
7506.632324 93.162 0.0000
7561.028320 93.087 0.0000
7615.818848 93.014 0.0000
7671.006348 92.942 0.0000
7726.593750 92.869 0.0000
7782.583984 92.796 0.0000
7838.979980 92.724 0.0000
7895.784668 92.651 0.0000
7953.000977 92.578 0.0000
8010.631836 92.503 0.0000
8068.680176 92.422 0.0000
8127.148926 92.339 0.0000
8186.041504 92.257 0.0000
8245.361328 92.175 0.0000
8305.110352 92.093 0.0000
8365.292969 92.011 0.0000
8425.911133 91.929 0.0000
8486.968750 91.844 0.0000
8548.468750 91.754 0.0000
8610.414062 91.662 0.0000
8672.808594 91.568 0.0000
8735.655273 91.474 0.0000
8798.957031 91.381 0.0000
8862.717773 91.288 0.0000
8926.940430 91.193 0.0000
8991.628906 91.096 0.0000
9056.786133 90.995 0.0000
9122.415039 90.891 0.0000
9188.519531 90.784 0.0000
9255.103516 90.676 0.0000
9322.169922 90.571 0.0000
9389.722656 90.465 0.0000
9457.764648 90.358 0.0000
9526.299805 90.244 0.0000
9595.331055 90.120 0.0000
9664.862305 89.992 0.0000
9734.897461 89.866 0.0000
9805.440430 89.738 0.0000
9876.495117 89.612 0.0000
9948.064453 89.485 0.0000
10020.152344 89.360 0.0000
10092.762695 89.236 0.0000
10165.899414 89.114 0.0000
10239.565430 88.991 0.0000
10313.765625 88.869 0.0000
10388.503906 88.746 0.0000
10463.783203 88.625 0.0000
10539.608398 88.501 0.0000
10615.982422 88.369 0.0000
10692.910156 88.233 0.0000
10770.395508 88.092 0.0000
10848.442383 87.950 0.0000
10927.054688 87.808 0.0000
11006.236328 87.667 0.0000
11085.992188 87.526 0.0000
11166.326172 87.383 0.0000
11247.242188 87.231 0.0000
11328.744141 87.076 0.0000
11410.836914 86.918 0.0000
11493.524414 86.759 0.0000
11576.811523 86.599 0.0000
11660.702148 86.442 0.0000
11745.200195 86.288 0.0000
11830.310547 86.139 0.0000
11916.038086 85.996 0.0000
12002.386719 85.856 0.0000
12089.361328 85.716 0.0000
12176.965820 85.578 0.0000
12265.205078 85.439 0.0000
12354.083984 85.300 0.0000
12443.606445 85.161 0.0000
12533.778320 85.023 0.0000
12624.603516 84.885 0.0000
12716.086914 84.747 0.0000
12808.233398 84.608 0.0000
12901.046875 84.471 0.0000
12994.533203 84.333 0.0000
13088.697266 84.197 0.0000
13183.542969 84.064 0.0000
13279.076172 83.937 0.0000
13375.301758 83.821 0.0000
13472.224609 83.707 0.0000
13569.849609 83.592 0.0000
13668.182617 83.476 0.0000
13767.227539 83.361 0.0000
13866.990234 83.246 0.0000
13967.476562 83.135 0.0000
14068.690430 83.026 0.0000
14170.637695 82.923 0.0000
14273.324219 82.824 0.0000
14376.754883 82.724 0.0000
14480.934570 82.625 0.0000
14585.869141 82.526 0.0000
14691.564453 82.426 0.0000
14798.025391 82.330 0.0000
14905.257812 82.234 0.0000
15013.267578 82.119 0.0000
15122.059570 81.996 0.0000
15231.640625 81.864 0.0000
15342.015625 81.729 0.0000
15453.190430 81.595 0.0000
15565.170898 81.462 0.0000
15677.962891 81.335 0.0000
15791.572266 81.203 0.0000
15906.004883 81.056 0.0000
16021.266602 80.893 0.0000
16137.363281 80.702 0.0000
16254.300781 80.497 0.0000
16372.085938 80.286 0.0000
16490.724609 80.072 0.0000
16610.222656 79.868 0.0000
16730.587891 79.658 0.0000
16851.824219 79.442 0.0000
16973.939453 79.199 0.0000
17096.939453 78.904 0.0000
17220.830078 78.578 0.0000
17345.619141 78.235 0.0000
